Data of Tweet,Tweet Content
2022-05-04 23:59:28+00:00,Kaunti ang katulad ni Leni Robredo dahil sa sistema ng korapsyon. Either lamunin ka ng sistema o ma-disillusion at iwan ang public service. Si Leni iba. Nag-focus sa pagsisilbi. Nag-file ng mga batas on transparency. Di nilamon o na-disillusion dahil matatag ang will to serve.
2022-05-04 23:59:13+00:00,"Wrong emotion po. Hindi po panic ang nararanasan namin. Election anxiety po. Gusto na namin manalo na ANG PRESIDENTE, LENI ROBREDO at BISE PRESIDENTE, KIKO PANGILINAN. ANG PRESIDENTE, LENI ROBREDO BISE PRESIDENTE, KIKO PANGILINAN. 🤣 https://t.co/GZsv1Aviti"
2022-05-04 23:58:57+00:00,"Joining presidential candidate Ferdinand “Bongbong” Marcos Jr. and vice presidential candidate Sara Duterte-Carpio were senatorial bets Harry Roque and Jinggoy Estrada, and actress Toni Gonzaga."
2022-05-04 23:58:33+00:00,"Yes, hindi ko siya pababayaan. Siya ang bobotohin ko kasi siya ang pinakamahusay na magiging pangulo ng Pilipinas, at siya ay si LENI ROBREDO! 💯💖🌸🌷💗 (And you, my good sir, keep on dreaming... 😴) #libreangmangarap 🙃 https://t.co/E3e8QiENPg"
2022-05-04 23:58:32+00:00,"@pinoyanghang Lets go out and vote on May 9!!! Tapusin na natin mga dilawan.
⚫️ 7 - Bongbong Marcos
⚫️ 4 - Sara Duterte

MARCOS DUTERTE TAYO 
#UNiTeamMindanao 
#SalamatINC"
2022-05-04 23:58:30+00:00,Ping Lacson’s FB page grows steadily but not at par in size with competitors’ https://t.co/YAMjbE4aZW
2022-05-04 23:57:54+00:00,Goodluck kung mag# 2 is Bongbong Marcos sa final count 😂 Feeling ko it's a landslide victory for Leni Robredo and Manny Pacquiao will be in the 2nd place. Mark this tweet. #LetLeniKikoLead
2022-05-04 23:57:46+00:00,"Ako si Purple at ako'y nakiki-isa sa pagsuporta kay Vice President Leni Robredo at Senator Kiko Pangilinan kasama ang Tropa ng Senatorial Slate para sa bayan na matagal na nating pinapangarap. Tara, samahan ninyo kami na kulayan ng Rosas ang ating Kinabukasan!
#LetLeniLead https://t.co/afDRs1wN0O"
2022-05-04 23:57:33+00:00,"Totoo. Nakakabilib ang katapangan ni Leni Robredo. Sa kabila ng lahat ng pinagdaanan niya, she is the one who is most at peace with herself. https://t.co/mS26PgSz1u"
2022-05-04 23:56:02+00:00,"⚫️ 7 - Bongbong Marcos
⚫️ 4 - Sara Duterte

MARCOS DUTERTE TAYO 
#UNiTeamMindanao 
#SalamatINC https://t.co/uh85TT0DZb"
2022-05-04 23:55:55+00:00,On May 8 that's SUNDAY i pray na isama sa HOMILY na iremind lahat ng mga church goers to vote for LENI ROBREDO and KIKO PANGILINAN and TROPANG ANGAT SENATORIAL SLATE sa buong kapuluan ng Pilipinas
2022-05-04 23:54:50+00:00,i endorse leni robredo for phillipine president
2022-05-04 23:54:39+00:00,"My Parents ay nasa early 70's 
Alam nila ang Marcos Era, may maganda at pangit na part ng pamumuno base sa story ng mga olds namin.

Isa lang ang binitiwan nyang salita sa amin magkakapatid.

Pumili kau ng Pangulo na hindi sisikilin ang inyong karapatan.

That is LENI ROBREDO."
2022-05-04 23:54:31+00:00,"prayer circle:

                    🕯      🕯
           🕯  Leni Robredo  🕯
               Will be the 17th 
       🕯      President of     🕯
                The Philippines
           🕯                          🕯
                    🕯      🕯"
2022-05-04 23:54:03+00:00,"Whatever happens this May 9 alam ko sarili ko na nasa tama akong kandidato. Manalo, matalo I know deep in my heart na mabuting tao at karapat dapat si Ma’am Leni Robredo. 🌸🌷🫰🏻"
2022-05-04 23:53:43+00:00,@iamaccds @ABSCBNNews @wenacos Don’t worry walang maiiwan kc hindi siya magpapabitay kc matatalo c Robredo✌️👊🇵🇭♥️💚. Ang alam ko baka magdeactivate ng account yung Leni supporter na ngsabi papaputoI mga paa kung manalo raw c Marcos. Yun either magdeactivate or magsabi ng “it’s a lie” it’s a prank🤣
2022-05-04 23:53:40+00:00,"""Sa Gobyernong Tapat, Angat Buhay Lahat! At siyempre, ipapanalo po natin ito para sa lahat! 

Ako si RYAN PERDIGOSA, isang CALL CENTER AGENT, nakikiisa sa pagsuporta kay Vice President Leni Robredo at Senator Kiko Pangilinan kasama ang Tropa ng Senatorial Slate para sa bayan na https://t.co/5yqanydyHc"
2022-05-04 23:53:11+00:00,"Leni Robredo, a true unifier https://t.co/nQj3Y4CrjL"
2022-05-04 23:53:02+00:00,@iLwordGyu THIS!!! They were blinded na the marcoses did something pero wala naman. Bongbong wouldn't be acknowledged right now if walang Marcos sa pangalan niya.
2022-05-04 23:52:58+00:00,"It will be so difficult to explain to your kids, whom you introduced Leni Robredo to, why an honest, excellent, and kind leader lost to a campaign built on trolls and propaganda 😭 #Ipana7oNa10to #KulayRosasAngBukas #BGCPinkWalk #BGCisPink https://t.co/pzTIbKa1u8"
2022-05-04 23:52:52+00:00,@pads_nosi Pero dahil sa GAGONG paring tulad mo na ginagamit ang abito sa pamumulitika di ko iboboto ang INA MO at si PING LACSON ang iboboto… may painte-integridad at moralidad ka pang nalalaman e WALA naman nun ang sinasamba mong INA MO parehas kayo…
2022-05-04 23:52:45+00:00,"In this week’s #JustThinking, I discuss why I’m casting my ballot for VP Leni Robredo this second Monday of May.

If we are true to our cry “Never Again!”, we must cast our votes where they will matter most. #makeitcount https://t.co/UGLfEITduF"
2022-05-04 23:52:34+00:00,"""Sa Gobyernong Tapat, Angat Buhay Lahat!

Ako si Leo isang Swiftie, nakikiisa sa pagsuporta kay Vice President Leni Robredo at Senator Kiko Pangilinan kasama ang Tropa ng Senatorial Slate para sa bayan na matagal na nating pinapangarap.
#IpanaloParaSaLahat
#LetLeniKikoLead https://t.co/A6Ib8s7NIf"
2022-05-04 23:52:10+00:00,@sseokjinsstar @miniminicvlt my understanding is she’s a liberal female candidate for presidency in the philippines! her name is leni robredo if you wanna google
2022-05-04 23:51:46+00:00,"IT'S OFFICIAL

LOOK: Vice President Leni Robredo and Sen. Kiko Pangilinan's miting de avance will be on Ayala Avenue, Makati City. 

Last push before the May 9 elections. Program will start at 5 p.m. #VotePH #OurVoteOurFuture | via Krixia Subingsubing, Philippine Daily Inquirer"
2022-05-04 23:50:00+00:00,Ping Lacson's FB page grows steadily but not at par in size with competitors' https://t.co/R2kG46L9jW
2022-05-04 23:49:27+00:00,"#Ipana10NatinParaSaLahat 
Leni Robredo
Kiko Pangilinan https://t.co/FH3oDnCFb6"
2022-05-04 23:49:23+00:00,"More than 40 former ambassadors who served under different administrations back the presidential candidacy of Vice President Maria Leonor ""Leni"" G. Robredo, saying they ""believe in her position on the West Philippine Sea"" 
@bworldph
 @onenewsph"
2022-05-04 23:49:12+00:00,The Son was influenced by the Cult of Leni Robredo... https://t.co/dDF2HHQ67B
2022-05-04 23:48:32+00:00,"@wenjunistt elections like for the president the senators etc yeah the pink represents the presidential candidate that theyre voting for which is Leni Robredo, our current vice president"
2022-05-04 23:48:31+00:00,"In today's Google Trends, Leni Robredo maintains her lead over Ferdinand Marcos Jr. while Kiko Pangilinan and Sara Duterte are still neck and neck. 

Regardless of the many criticisms about them (many unfair, I think), I won't dismiss the surveys done by
 https://t.co/FIr9Rb1zYe https://t.co/gzru0SKF9t"
2022-05-04 23:47:42+00:00,#LetLeniKikoLead because the Filipinos deserve better governance from selfless servant leaders like VP Leni Robredo and Sen Kiko Pangilinan.
2022-05-04 23:47:34+00:00,"#Ipana10NatinParaSaLahat 
Leni Robredo 
Kiko Pangilinan https://t.co/erRWe7Xw2F"
2022-05-04 23:47:31+00:00,Ang bilis ng panahon pero manalo tayo kay President Leni Robredo saka eto aaprubahan to franchise ng ABS-CBN sa October 23 this year or sa 70th anniversary celebration nag ABS-CBN next year para mabalik sa free tv pero digital na hindi sa analog #BabalikAngABSCBN #LeniKiko2022 https://t.co/g40DUpZ7N4
2022-05-04 23:47:12+00:00,"These platforms are not given much attention in mainstream media because, as we all know, these forces are all ANTI-MARCOS. They are collaborating to make it difficult for BBM to win the 2022 elections. I believe the Uniteam- Bongbong Marcos and Mayor Inday Sara Duterte - is"
2022-05-04 23:46:29+00:00,"Pagka gising ko ang una kong naririnig sa labas ng bahay namin ay yung tugtog na ""Ang Presidente, LENI ROBREDO "" Bise Presidente, KIKO PANGILINAN ""

The Best talaga ang Punong Barangay namin! 💕😊

#LeniKiko2022"
2022-05-04 23:46:29+00:00,"https://t.co/ZpPOxgrJOe

Ayaaan! Military na mismo nagsabing hindi. Maliban sa mali ang red tagging, especially na walang katotohanan ang kay red tagging nila Kay Leni dahil never din silang nagkaroon ng supporting details sa claim nilang 'to. Clearly Black Propaganda lang. https://t.co/HLWjE3B4aC"
2022-05-04 23:46:21+00:00,"on the transportation sector, and use available technology to improve services and communication.

While VP Leni Robredo promises to provide 216 billion for ayuda on her first 100 days, BBM responds to NEDA's four areas of focus. See the difference?"
