Token,TFIDF_Value
aabutin,6.998936561946683
nagtataka,6.998936561946683
nagtotorture,6.998936561946683
nagtutulak,6.998936561946683
nahagip,6.998936561946683
nahehelo,6.998936561946683
nahihiya,6.998936561946683
nahimlay,6.998936561946683
nahiya,6.998936561946683
naiambag,6.998936561946683
naiisip,6.998936561946683
nailalabas,6.998936561946683
naipaliwanag,6.998936561946683
naipanalo,6.998936561946683
naisama,6.998936561946683
naive,6.998936561946683
naka,6.998936561946683
naka-move,6.998936561946683
nakabuntis,6.998936561946683
nakaka-drain,6.998936561946683
nakakaalam,6.998936561946683
nakakabahala,6.998936561946683
nakakaduda,6.998936561946683
nakakakita,6.998936561946683
nakakapangilabot!from,6.998936561946683
nakakarinig,6.998936561946683
nakakasuka,6.998936561946683
nagtatrabaho,6.998936561946683
nagtago,6.998936561946683
nakakatouch,6.998936561946683
nagsimula,6.998936561946683
naghihirap,6.998936561946683
naghold,6.998936561946683
nagiging,6.998936561946683
nagka,6.998936561946683
nagkakalat,6.998936561946683
nagkamali,6.998936561946683
naglalabas,6.998936561946683
naglipana,6.998936561946683
nagmamalenis,6.998936561946683
nagmana,6.998936561946683
nagmumukha,6.998936561946683
nagopya,6.998936561946683
nagpalit,6.998936561946683
nagpamemeeting,6.998936561946683
nagpapakalat,6.998936561946683
nagpapaloko,6.998936561946683
nagpaplano,6.998936561946683
nagpasaring,6.998936561946683
nagpatayo,6.998936561946683
nagpatutsada,6.998936561946683
nagreklamo,6.998936561946683
nagsabay,6.998936561946683
nagsasabing,6.998936561946683
nagsasalita,6.998936561946683
nagsilbi,6.998936561946683
nakakatawa,6.998936561946683
nakakatulog,6.998936561946683
paratang,6.998936561946683
namimilit,6.998936561946683
namuno,6.998936561946683
nananaig,6.998936561946683
nananakit,6.998936561946683
nandito,6.998936561946683
naneto,6.998936561946683
nanggigigil,6.998936561946683
nanguna,6.998936561946683
naninindigan,6.998936561946683
naninira,6.998936561946683
nanonood,6.998936561946683
nanunupil,6.998936561946683
napadakip,6.998936561946683
napagtagumpayan,6.998936561946683
napahiya,6.998936561946683
napakatanga,6.998936561946683
napakinabangan,6.998936561946683
napakulong,6.998936561946683
naparami,6.998936561946683
napunta,6.998936561946683
naramdaman,6.998936561946683
narating,6.998936561946683
narealize,6.998936561946683
narratives,6.998936561946683
nasabing,6.998936561946683
nasangkot,6.998936561946683
namjoon,6.998936561946683
names,6.998936561946683
nakakaunawa,6.998936561946683
nameng,6.998936561946683
nakalaban,6.998936561946683
nakalagay,6.998936561946683
nakalimutan,6.998936561946683
nakapag,6.998936561946683
nakapasok,6.998936561946683
nakaraan,6.998936561946683
nakasulat,6.998936561946683
nakatapak,6.998936561946683
nakatapos,6.998936561946683
nakatatak,6.998936561946683
nakatulong,6.998936561946683
nakawan,6.998936561946683
nakawin,6.998936561946683
nakikiisa,6.998936561946683
nakikipag,6.998936561946683
nakinabang,6.998936561946683
nako,6.998936561946683
