Token,TFIDF_Value
UP,6.902633333401366
neutral,6.902633333401366
nepomuceno,6.902633333401366
nerds,6.902633333401366
neri,6.902633333401366
nerve,6.902633333401366
nery,6.902633333401366
network,6.902633333401366
neutrality,6.902633333401366
neighbourhood,6.902633333401366
nga!hahaha,6.902633333401366
ngayun,6.902633333401366
nginig,6.902633333401366
ngiti,6.902633333401366
night,6.902633333401366
nimfa,6.902633333401366
neither,6.902633333401366
negativity,6.902633333401366
nangyari,6.902633333401366
natasha,6.902633333401366
naniwala,6.902633333401366
napabilib,6.902633333401366
napakapowerful,6.902633333401366
napawi,6.902633333401366
napuntahan,6.902633333401366
narinig,6.902633333401366
nation,6.902633333401366
needs,6.902633333401366
nato,6.902633333401366
natoy,6.902633333401366
naur,6.902633333401366
nauubusan,6.902633333401366
nb,6.902633333401366
nctzen,6.902633333401366
nine,6.902633333401366
ninyong,6.902633333401366
nio,6.902633333401366
officialmaryaph,6.902633333401366
oceanrix,6.902633333401366
oct,6.902633333401366
octa,6.902633333401366
odds,6.902633333401366
offered,6.902633333401366
offers,6.902633333401366
ofw...(7)bongbong,6.902633333401366
nipa,6.902633333401366
ofws,6.902633333401366
ohemgeeee,6.902633333401366
old,6.902633333401366
olympic,6.902633333401366
omg,6.902633333401366
omgggggg,6.902633333401366
obviously,6.902633333401366
obvious,6.902633333401366
obsessed,6.902633333401366
obob,6.902633333401366
obispo,6.902633333401366
nya'y,6.902633333401366
nvm,6.902633333401366
number,6.902633333401366
nth,6.902633333401366
notice,6.902633333401366
nothing,6.902633333401366
non-negotiables,6.902633333401366
non-negotiable,6.902633333401366
nograles,6.902633333401366
nlng,6.902633333401366
niyong,6.902633333401366
nirerespeto,6.902633333401366
naniniwalang,6.902633333401366
nang,6.902633333401366
one's,6.902633333401366
msmes,6.902633333401366
mother's,6.902633333401366
mothers,6.902633333401366
motorcade,6.902633333401366
mqdam,6.902633333401366
mrs,6.902633333401366
msme,6.902633333401366
mulat,6.902633333401366
morena,6.902633333401366
multitude,6.902633333401366
murderer's,6.902633333401366
music,6.902633333401366
muslim,6.902633333401366
musta,6.902633333401366
mutual,6.902633333401366
moriones,6.902633333401366
morales,6.902633333401366
naneto,6.902633333401366
mitting,6.902633333401366
mingyu,6.902633333401366
minutes,6.902633333401366
mirror,6.902633333401366
mismatch,6.902633333401366
misogyny,6.902633333401366
miss,6.902633333401366
mkikita,6.902633333401366
momshie,6.902633333401366
mln,6.902633333401366
moa,6.902633333401366
mode,6.902633333401366
modelo,6.902633333401366
moment,6.902633333401366
mommy,6.902633333401366
mwahhhh,6.902633333401366
mygad,6.902633333401366
na't,6.902633333401366
nakatrabaho,6.902633333401366
naidulot,6.902633333401366
nakagraduate,6.902633333401366
nakakahiya,6.902633333401366
nakakaloka,6.902633333401366
nakasama,6.902633333401366
nakatoka,6.902633333401366
nakikinig,6.902633333401366
na'tin,6.902633333401366
nakikipagpulong,6.902633333401366
nakukumbinsi,6.902633333401366
nanamang,6.902633333401366
nanawagan,6.902633333401366
nandaya,6.902633333401366
nandito,6.902633333401366
nai-angat,6.902633333401366
nahalal,6.902633333401366
naguenos,6.902633333401366
nagtutulak,6.902633333401366
nagsalita,6.902633333401366
nagpursige,6.902633333401366
nagpapasalamat,6.902633333401366
nagpahayag,6.902633333401366
naglingkod,6.902633333401366
naglike,6.902633333401366
naglalakad,6.902633333401366
naghihiwalay,6.902633333401366
naghahayo,6.902633333401366
nagbago,6.902633333401366
naganap,6.902633333401366
