Token,TFIDF_Value
My,6.043425116919247
maipapanalo,6.043425116919247
makipag,6.043425116919247
stint,6.043425116919247
stop,6.043425116919247
stops,6.043425116919247
maka,6.043425116919247
majority,6.043425116919247
strategic,6.043425116919247
maintains,6.043425116919247
marcos's,6.043425116919247
mainit,6.043425116919247
mahihirap,6.043425116919247
streets,6.043425116919247
magpalipat-lipat,6.043425116919247
magiging,6.043425116919247
magic,6.043425116919247
magandang,6.043425116919247
still,6.043425116919247
makontrol,6.043425116919247
malacanang,6.043425116919247
stepping,6.043425116919247
starting,6.043425116919247
mar/cos,6.043425116919247
many,6.043425116919247
stated,6.043425116919247
stem,6.043425116919247
manifest,6.043425116919247
mangurakot,6.043425116919247
mangondato's,6.043425116919247
mandato,6.043425116919247
mandaluyong,6.043425116919247
mananalo,6.043425116919247
mamshie,6.043425116919247
mama,6.043425116919247
mali,6.043425116919247
malaki,6.043425116919247
maganda,6.043425116919247
magampanan,6.043425116919247
mag-anunsyo,6.043425116919247
lousy,6.043425116919247
lopez,6.043425116919247
structure,6.043425116919247
students,6.043425116919247
loob.@gmanews,6.043425116919247
loob,6.043425116919247
long-time,6.043425116919247
long,6.043425116919247
subscribers,6.043425116919247
lokal,6.043425116919247
logistic,6.043425116919247
lodi,6.043425116919247
local,6.043425116919247
liyag,6.043425116919247
lito,6.043425116919247
listening,6.043425116919247
lot,6.043425116919247
lp's,6.043425116919247
Nationwide,6.043425116919247
stretch,6.043425116919247
madali,6.043425116919247
mabilis,6.043425116919247
mabait,6.043425116919247
maayos,6.043425116919247
maawa,6.043425116919247
maaa,6.043425116919247
ma-fact,6.043425116919247
ma-dismiss,6.043425116919247
strengthen,6.043425116919247
lupa,6.043425116919247
lumiban,6.043425116919247
stressed,6.043425116919247
luha,6.043425116919247
lugaw,6.043425116919247
lugar,6.043425116919247
stands,6.043425116919247
marcos-duterte,6.043425116919247
listahan,6.043425116919247
mount,6.043425116919247
nadine,6.043425116919247
naagrabyado,6.043425116919247
must,6.043425116919247
murag,6.043425116919247
speed,6.043425116919247
movement,6.043425116919247
move,6.043425116919247
most-awaited,6.043425116919247
standing,6.043425116919247
moots,6.043425116919247
mood,6.043425116919247
months,6.043425116919247
mix,6.043425116919247
sponsored,6.043425116919247
missing,6.043425116919247
miss,6.043425116919247
speech,6.043425116919247
nag-iingat,6.043425116919247
specific,6.043425116919247
nag-uumpisa,6.043425116919247
nakarating,6.043425116919247
nakakalito,6.043425116919247
nakakaantok,6.043425116919247
nai-market,6.043425116919247
nah,6.043425116919247
nagtatagumpay,6.043425116919247
nagsuntukan,6.043425116919247
