Tweet Content,Sentiment,Label,Preprocessed_Tweet
Worst Bong ever. https://t.co/QA7R8VYppC,Negative,Hate,"['worst', 'ever']"
what i dont like about leni robredo's platforms is that she likes to play safe as to not upset most of her supporters which are middle and upper class citizens 💀 but then again that's just what neoliberalism really is about. to please the rich and pretend to care about the poor,Negative,Hate,"['dont', 'like', ""robredo's"", 'platforms', 'likes', 'play', 'safe', 'upset', 'supporters', 'middle', 'upper', 'class', 'citizens', ""that's"", 'neoliberalism', 'really', 'please', 'rich', 'pretend', 'care', 'poor']"
Ito ang tunay na survey ni VP Leni Robredo #1 sa pinaka-ayaw. Ganyan tal... https://t.co/rtAHaMtm1G via @YouTube,Negative,Hate,"['tunay', 'survey', 'vp', 'pinaka-ayaw', 'ganyan', 'tal', 'via']"
"(3) BBM sued for Pork Barrel Scam

https://t.co/54QrShYrAR

(4) PCGG: Bongbong blocked return of $40M to gov’t

https://t.co/Q6LnavIFFD

BBM SINUNGALING: 

Source: https://t.co/wGZwfG3rh8

(1) Oxford University Says Marcos Jr. Did Not Complete Degree

https://t.co/oujMmkanl9",Negative,Hate,"['bbm', 'sued', 'pork', 'barrel', 'scam', 'pcgg', 'blocked', 'return', ""gov't"", 'bbm', 'sinungaling', 'source', 'oxford', 'university', 'says', 'complete', 'degree']"
"Sabog din sumagot tong si Norberto Gonzales no? Padala daw tayo ng tropa to train in Russia before we sign anything with them. E hello, you need to sign a MOA on defense coop first to do training exchanges. Akala ko ba NSA to dati?

#SMNIpresidentialdebate",Negative,Hate,"['sabog', 'sumagot', 'tong', 'si', 'padala', 'daw', 'tropa', 'train', 'russia', 'sign', 'anything', 'hello', 'need', 'sign', 'moa', 'defense', 'coop', 'first', 'training', 'exchanges', 'akala', 'ba', 'nsa', 'dati']"
"@ImPaulMarfil @jaicabajar Si BOngBOng Marcos po, literal na tumakbo galing sa debate https://t.co/mXrasRfgGr",Negative,Hate,"['si', 'po', 'literal', 'tumakbo', 'galing', 'debate']"
"@KirstenJay03 Hi Bitch, as requested I did my research and upon searching I can't find Bongbong Marcos (your idol nice) helping our Kababayans  during pandemic. Or maybe you should send me some pics. I don't see also you are relevant and helpful to other people or should I say you are just",Negative,Hate,"['hi', 'bitch', 'requested', 'research', 'upon', 'searching', ""can't"", 'find', 'idol', 'nice', 'helping', 'kababayans', 'pandemic', 'maybe', 'send', 'pics', 'see', 'also', 'relevant', 'helpful', 'people', 'say']"
The Marcos makeover: How history was rewritten to place a dictator's son on the cusp of power https://t.co/qwxaHEjf1h via @ABCaustralia,Negative,Hate,"['makeover', 'history', 'rewritten', 'place', ""dictator's"", 'cusp', 'power', 'via']"
"Diba? Hayss better to see yourself first before you give ur statement that actually and secretly you did it HAHAHA. 
WAG PO KAMI, DI PO KAMI BAYAD AT KAMI PO'Y MAY HIGH STANDARDS TO CHOOSE WHO OUR PRESIDENT IS AND THAT IS LENI ROBREDO. #TaraNaKayLeni https://t.co/b9k4qeRwha",Negative,Hate,"['diba', 'hayss', 'better', 'see', 'first', 'give', 'ur', 'statement', 'actually', 'secretly', 'hahaha', 'wag', 'po', 'di', 'po', 'bayad', ""po'y"", 'high', 'standards', 'choose', 'president']"
"@filmsaniston HAHAHA! 🤣 YOU PINKS ARE SO PATHETIC! SHE DOESN'T EVEN HAVE A CLUE WHO LENI ROBREDO IS, &amp; SHE DOESN'T EVEN KNOW WHO YOU DORKS ARE TALKING ABOUT HER ON TWITTER LIKE AS IF YOU GUYS ARE FRIENDS WITH HER  &amp; SH*T. 🤣",Negative,Hate,"['hahaha', 'pinks', 'pathetic', 'even', 'clue', 'amp', 'even', 'know', 'dorks', 'talking', 'twitter', 'like', 'guys', 'friends', 'amp', 'sh*t']"
lawrd ping lacson needs a reality check. so tired of hearing pure bs from politicians who are so detached from reality 😭 #PiliPinasDebates2022,Negative,Hate,"['lawrd', 'needs', 'reality', 'check', 'tired', 'hearing', 'pure', 'bs', 'politicians', 'detached', 'reality']"
"The 2022 election triumph of Ferdinand “Bongbong” Marcos Jnr, the son of former dictator Ferdinand Marcos, could further destabilise the status quo.
Here is the real story: During their three decades in control, the liberals failed the People Power movement.",Negative,Hate,"['election', 'triumph', 'ferdinand', 'jnr', 'former', 'dictator', 'ferdinand', 'could', 'destabilise', 'status', 'quo', 'real', 'story', 'three', 'decades', 'control', 'liberals', 'failed', 'people', 'power', 'movement']"
