Tweet Content,Sentiment,Label
Worst Bong ever. https://t.co/QA7R8VYppC,Negative,Hate
what i dont like about leni robredo's platforms is that she likes to play safe as to not upset most of her supporters which are middle and upper class citizens 💀 but then again that's just what neoliberalism really is about. to please the rich and pretend to care about the poor,Negative,Hate
Ito ang tunay na survey ni VP Leni Robredo #1 sa pinaka-ayaw. Ganyan tal... https://t.co/rtAHaMtm1G via @YouTube,Negative,Hate
"(3) BBM sued for Pork Barrel Scam

https://t.co/54QrShYrAR

(4) PCGG: Bongbong blocked return of $40M to gov’t

https://t.co/Q6LnavIFFD

BBM SINUNGALING: 

Source: https://t.co/wGZwfG3rh8

(1) Oxford University Says Marcos Jr. Did Not Complete Degree

https://t.co/oujMmkanl9",Negative,Hate
"Sabog din sumagot tong si Norberto Gonzales no? Padala daw tayo ng tropa to train in Russia before we sign anything with them. E hello, you need to sign a MOA on defense coop first to do training exchanges. Akala ko ba NSA to dati?

#SMNIpresidentialdebate",Negative,Hate
"@ImPaulMarfil @jaicabajar Si BOngBOng Marcos po, literal na tumakbo galing sa debate https://t.co/mXrasRfgGr",Negative,Hate
"@KirstenJay03 Hi Bitch, as requested I did my research and upon searching I can't find Bongbong Marcos (your idol nice) helping our Kababayans  during pandemic. Or maybe you should send me some pics. I don't see also you are relevant and helpful to other people or should I say you are just",Negative,Hate
The Marcos makeover: How history was rewritten to place a dictator's son on the cusp of power https://t.co/qwxaHEjf1h via @ABCaustralia,Negative,Hate
"Diba? Hayss better to see yourself first before you give ur statement that actually and secretly you did it HAHAHA. 
WAG PO KAMI, DI PO KAMI BAYAD AT KAMI PO'Y MAY HIGH STANDARDS TO CHOOSE WHO OUR PRESIDENT IS AND THAT IS LENI ROBREDO. #TaraNaKayLeni https://t.co/b9k4qeRwha",Negative,Hate
"@filmsaniston HAHAHA! 🤣 YOU PINKS ARE SO PATHETIC! SHE DOESN'T EVEN HAVE A CLUE WHO LENI ROBREDO IS, &amp; SHE DOESN'T EVEN KNOW WHO YOU DORKS ARE TALKING ABOUT HER ON TWITTER LIKE AS IF YOU GUYS ARE FRIENDS WITH HER  &amp; SH*T. 🤣",Negative,Hate
lawrd ping lacson needs a reality check. so tired of hearing pure bs from politicians who are so detached from reality 😭 #PiliPinasDebates2022,Negative,Hate
"The 2022 election triumph of Ferdinand “Bongbong” Marcos Jnr, the son of former dictator Ferdinand Marcos, could further destabilise the status quo.
Here is the real story: During their three decades in control, the liberals failed the People Power movement.",Negative,Hate
"@Eric_Cabahug MarcosJr. duwag. Ayaw umattend ng mga debate dahil hindi kayang idipensa ang sarili at pamilya nya. Kung ang sarili at pamilya nya nga ay hindi nya kayang ipagtanggol at panindigan, ang sambayanang Pilipino pa kaya? Gising Pilipinas!!! LENI ROBREDO FOR THE WIN!!! 🙏💗💗💗🙏",Negative,Hate
"Badoy nyo, BADUY! HAHHAHHAHAHA Tunog putang ins. Tulad ni Imee Marcos, BongBong Marcos, Mocha Uson at putang si Jam Magno. https://t.co/6Tn4J8YxPb",Negative,Hate
Yung nawala yung Pldt nung Mag speech na si Bongbong Marcos. Teka lang?,Negative,Hate
"Robredo volunteers allegedly blocked from campaigning in Samar town https://t.co/zKKcZXL6a3 via @YouTube 

 EVIL ARM OF MARCOS IS STARTING TO SHOW?

WAIT TILL AFTER ELECTION IF THE FILIPINOS R STUPID ENOUGH TO VOTE 4 HIM.HAHAHA

VOTE LENI ROBREDO 4 PRES N KIKOPANGILINAN 4 VP",Negative,Hate
The Marcos makeover: How history was rewritten to place a dictator's son on the cusp of power https://t.co/Oit7bxGeTk via @ABCaustralia,Negative,Hate
"@bongbongmarcos will never sleep with the enemies at the gate,unlike Leni Robredo sleeping with the enemy is natural to her.",Negative,Hate
