Tweet Content,Sentiment,Label,Preprocessed_Tweet
"Dictator's son on the cusp of power in the #Philippines #marcos
https://t.co/5wbFYVWlG4",Negative,Hate,"[""dictator's"", 'cusp', 'power']"
"Kung ang definition ni BongBong Marcos sa isang terorista ay isang armadong grupo na nananakit, nanunupil ng civilian o teenager na NON COMBATANT, pinapatunayan lang na ang PNP-AFP ay terorista.

EJK sa Drug War at Martial Law mismo ang ebidensya.

#ManggagawaVSMagnanakaw",Negative,Hate,"['definition', 'terorista', 'armadong', 'grupo', 'nananakit', 'nanunupil', 'civilian', 'teenager', 'non', 'combatant', 'pinapatunayan', 'lang', 'pnp-afp', 'terorista', 'ejk', 'drug', 'war', 'martial', 'law', 'ebidensya']"
Leni Robredo is not being subjected by her opponents to gender attact but her intelligence and capacity to lead are put into question... we do not want a puppet president... https://t.co/hzn3LiQ5uJ,Negative,Hate,"['subjected', 'opponents', 'gender', 'attact', 'intelligence', 'capacity', 'lead', 'put', 'question', 'want', 'puppet', 'president']"
@imstillsour Tuwang tuwa sila sa Pink hahaha..hindi nila alam Pink color is sign for Bongbong Marcos..kasi favorite nya isuot pink...ambilis ni Leni mag grab ng color kasi nakita nila langit nag Pink hahaha😅😂😂,Negative,Hate,"['tuwang', 'tuwa', 'pink', 'hahaha..hindi', 'alam', 'pink', 'color', 'sign', 'marcos..kasi', 'favorite', 'nya', 'isuot', 'pink...ambilis', 'grab', 'color', 'kasi', 'langit', 'nag', 'pink']"
Kapag hindi si VP Leni Robredo ang iboboto mo sa May 9 2022!! 6 YEARS KANG MAMALASIN...,Negative,Hate,"['si', 'vp', 'iboboto', 'years', 'kang', 'mamalasin']"
"kakampinks sleeping soundly tonight knowing that leni robredo did well in tonight’s debate. pero yung iba, double time sa paghahanap ng mali. 😂 hirap talaga pag wala ka mapagmalaki sa kandidato mo sa iba ka nalang titingin. #10RobredoPresident #IpanaloNa10To",Negative,Hate,"['kakampinks', 'sleeping', 'soundly', 'tonight', 'knowing', 'well', ""tonight's"", 'debate', 'yung', 'double', 'time', 'paghahanap', 'mali', 'hirap', 'talaga', 'pag', 'wala', 'mapagmalaki', 'kandidato', 'nalang', 'titingin']"
leni robredo daw potanginaAAAAUSASASSASA,Negative,Hate,"['daw', 'potanginaaaaausasassasa']"
"Son of a Dictator | The rise of FERDINAND MARCOS JNR - This week on FOREIGN CORRESPONDENT 

Read More -&gt; https://t.co/FNivaeF42j https://t.co/HWGtOLR2e5",Negative,Hate,"['dictator', 'rise', 'ferdinand', 'jnr', 'week', 'foreign', 'correspondent', 'read', 'gt']"
"Fascinating read 👇🏼

Why Bongbong Marcos, a Philippine dictator’s Son, leads the race for the presidency https://t.co/U93PcvdMYB",Negative,Hate,"['fascinating', 'read', 'philippine', ""dictator's"", 'leads', 'race', 'presidency']"
@gundaya_dalagon @zzzxxx074abcdef Lol! Walang kwenta yang pagmamagaling nyo. Ano ang ginawa nyo for 6 years? Di ba bullying din? Ngayon sasabihin nyo tinuturuan ni joma sison si leni robredo?,Negative,Hate,"['lol', 'kwenta', 'yang', 'pagmamagaling', 'nyo', 'nyo', 'years', 'di', 'ba', 'bullying', 'sasabihin', 'nyo', 'tinuturuan', 'joma', 'sison', 'si']"
"@NAMercadoINQ Boy Ngiwi didn’t even finish his undergraduate studies at Oxford. In sum, nasipa sya, tapos yun tatay dahil pangulo humingi ng some sort of fake “diploma”. Wala syang diegree so he lies about ut

Oxford &amp; Wharton DO NOT HAVE LBM ON THEIR LIST OF GRADS

https://t.co/boWI573HqX",Negative,Hate,"['boy', 'ngiwi', 'even', 'finish', 'undergraduate', 'studies', 'oxford', 'sum', 'nasipa', 'sya', 'tapos', 'yun', 'tatay', 'pangulo', 'humingi', 'sort', 'fake', 'diploma', 'wala', 'syang', 'diegree', 'lies', 'ut', 'oxford', 'amp', 'wharton', 'lbm', 'list', 'grads']"
"#NagaIsPink #BicolIsPink 
President leni robredo 

Thats an article in new yor times,,nakakahiya ang pilipinas. boboto sa anak ng diktador 

ipanalo leni robredo! https://t.co/G3JEas7pHu",Negative,Hate,"['president', 'thats', 'article', 'new', 'times,,nakakahiya', 'pilipinas', 'boboto', 'anak', 'diktador', 'ipanalo']"
"Bongbong Marcos: The man attempting to revive a corrupt political dynasty

""His father was a ruthless dictator. His mother gained international notoriety for her massive collection of shoes.""

https://t.co/mWbk5gQrYv",Negative,Hate,"['attempting', 'revive', 'corrupt', 'political', 'dynasty', 'father', 'ruthless', 'dictator', 'mother', 'gained', 'international', 'notoriety', 'massive', 'collection', 'shoes']"
"In the Philippines, grass-roots campaign takes on the Marcos juggernaut

ugh, a son of dictator Marcos is running for President? 

hoping VP Maria Leonor “Leni” Robredo &amp; her Digital Warriors ""truth army"" can defeat the Marcos / Duterte paid propagandists 
https://t.co/W9hp3GbkAL",Negative,Hate,"['philippines', 'grass-roots', 'campaign', 'takes', 'juggernaut', 'ugh', 'dictator', 'running', 'president', 'hoping', 'vp', 'maria', 'leonor', 'amp', 'digital', 'warriors', 'truth', 'army', 'defeat', 'duterte', 'paid', 'propagandists']"
@jowanabueser mamalasin tayo dahil inuna pang pangarapin ni cj cansino makatuntong sa malacang with leni robredo. nauna na syang minalas bangko tuloy.,Negative,Hate,"['mamalasin', 'inuna', 'pang', 'pangarapin', 'cj', 'cansino', 'makatuntong', 'malacang', 'nauna', 'syang', 'minalas', 'bangko', 'tuloy']"
What if Bongbong Marcos was aborted,Negative,Hate,['aborted']
"""Ang totoong sayang na boto ay para sa mga hindi karapat-dapat manalo at sa mga magnanakaw na dapat walang karapatang maluklok sa puwesto."" 'Yan ang closing message ni Ping Lacson sa ikalawang Comelec presidential debate. #PiliPinas2022 #Eleksyon2022 https://t.co/atNDpeIFIs",Negative,Hate,"['totoong', 'sayang', 'boto', 'karapat-dapat', 'manalo', 'magnanakaw', 'karapatang', 'maluklok', 'puwesto', 'yan', 'closing', 'message', 'ikalawang', 'comelec', 'presidential', 'debate']"
@aiseyahreads OMG TNX PO BEZTIE 😭😭 boboto na daw siya though for ping lacson. idk if it's a relief na hindi si babym or what 😭😭,Negative,Hate,"['omg', 'tnx', 'po', 'beztie', 'boboto', 'daw', 'though', 'idk', 'relief', 'si', 'babym']"
"these ""troll accounts"" have the capability to be the tie-braker that the country might need for leni robredo to win. never belittle our way of supporting our faves, there’s a human behind every fan account",Negative,Hate,"['troll', 'accounts', 'capability', 'tie-braker', 'country', 'might', 'need', 'win', 'never', 'belittle', 'way', 'supporting', 'faves', ""there's"", 'human', 'behind', 'every', 'fan', 'account']"
Kailangan manalo ni Leni Robredo kasi ayoko na ganitong klaseng boses yung mamayani sa bayan natin. Puro mga nagsisinungaling at nagdudunung-dunungan.,Negative,Hate,"['manalo', 'kasi', 'ayoko', 'ganitong', 'klaseng', 'boses', 'yung', 'mamayani', 'bayan', 'natin', 'puro', 'nagsisinungaling', 'nagdudunung-dunungan']"
"Demonyo talaga kayong mga kakampink pati sa #NagaIsPink nagmana kayo sa President Leni Robredo nyong demonyo din

#JusticeForFrederick https://t.co/HRmwz88fKR",Negative,Hate,"['demonyo', 'talaga', 'kayong', 'kakampink', 'pati', 'nagmana', 'kayo', 'president', 'nyong', 'demonyo']"
"#NagaIsPink #BicolIsPink 
President leni robredo 

Hindi lahat tanga! wag mo lahatin! lahat ng kurap hindi mananalo! mark my word https://t.co/siIraFHmhd",Negative,Hate,"['president', 'tanga', 'wag', 'lahatin', 'kurap', 'mananalo', 'mark', 'word']"
"Makikita mo talaga ang kahipokritohan ni Leni Robredo ikaw nga hindi pumunta sa SMNI
#LeniDuwag https://t.co/PONXGWkpmH",Negative,Hate,"['makikita', 'talaga', 'kahipokritohan', 'nga', 'smni']"
Natatawa talaga ako sa Bongbong Marcos received bloc voting as VP in 2016 but lost to Leni Robredo 😂🤣 #kakampINC #LabanLeni2022 #LabanLeniKiko2022,Negative,Hate,"['natatawa', 'talaga', 'received', 'bloc', 'voting', 'vp', 'lost']"
The most hated Filipino is Leni Robredo #BBMSARACONFERENCE,Negative,Hate,"['hated', 'filipino']"
Son of notorious dictator Ferdinand Marcos' is poised to win the Philippines presidential election https://t.co/QN7zXnyt0f,Negative,Hate,"['notorious', 'dictator', 'ferdinand', 'poised', 'win', 'philippines', 'presidential', 'election']"
