Tweet Content,Sentiment,Label
"Dictator's son on the cusp of power in the #Philippines #marcos
https://t.co/5wbFYVWlG4",Negative,Hate
"Kung ang definition ni BongBong Marcos sa isang terorista ay isang armadong grupo na nananakit, nanunupil ng civilian o teenager na NON COMBATANT, pinapatunayan lang na ang PNP-AFP ay terorista.

EJK sa Drug War at Martial Law mismo ang ebidensya.

#ManggagawaVSMagnanakaw",Negative,Hate
Leni Robredo is not being subjected by her opponents to gender attact but her intelligence and capacity to lead are put into question... we do not want a puppet president... https://t.co/hzn3LiQ5uJ,Negative,Hate
@imstillsour Tuwang tuwa sila sa Pink hahaha..hindi nila alam Pink color is sign for Bongbong Marcos..kasi favorite nya isuot pink...ambilis ni Leni mag grab ng color kasi nakita nila langit nag Pink hahaha😅😂😂,Negative,Hate
Kapag hindi si VP Leni Robredo ang iboboto mo sa May 9 2022!! 6 YEARS KANG MAMALASIN...,Negative,Hate
"kakampinks sleeping soundly tonight knowing that leni robredo did well in tonight’s debate. pero yung iba, double time sa paghahanap ng mali. 😂 hirap talaga pag wala ka mapagmalaki sa kandidato mo sa iba ka nalang titingin. #10RobredoPresident #IpanaloNa10To",Negative,Hate
leni robredo daw potanginaAAAAUSASASSASA,Negative,Hate
"Son of a Dictator | The rise of FERDINAND MARCOS JNR - This week on FOREIGN CORRESPONDENT 

Read More -&gt; https://t.co/FNivaeF42j https://t.co/HWGtOLR2e5",Negative,Hate
"Fascinating read 👇🏼

Why Bongbong Marcos, a Philippine dictator’s Son, leads the race for the presidency https://t.co/U93PcvdMYB",Negative,Hate
@gundaya_dalagon @zzzxxx074abcdef Lol! Walang kwenta yang pagmamagaling nyo. Ano ang ginawa nyo for 6 years? Di ba bullying din? Ngayon sasabihin nyo tinuturuan ni joma sison si leni robredo?,Negative,Hate
"@NAMercadoINQ Boy Ngiwi didn’t even finish his undergraduate studies at Oxford. In sum, nasipa sya, tapos yun tatay dahil pangulo humingi ng some sort of fake “diploma”. Wala syang diegree so he lies about ut

Oxford &amp; Wharton DO NOT HAVE LBM ON THEIR LIST OF GRADS

https://t.co/boWI573HqX",Negative,Hate
"#NagaIsPink #BicolIsPink 
President leni robredo 

Thats an article in new yor times,,nakakahiya ang pilipinas. boboto sa anak ng diktador 

ipanalo leni robredo! https://t.co/G3JEas7pHu",Negative,Hate
"Bongbong Marcos: The man attempting to revive a corrupt political dynasty

""His father was a ruthless dictator. His mother gained international notoriety for her massive collection of shoes.""

https://t.co/mWbk5gQrYv",Negative,Hate
"In the Philippines, grass-roots campaign takes on the Marcos juggernaut

ugh, a son of dictator Marcos is running for President? 

hoping VP Maria Leonor “Leni” Robredo &amp; her Digital Warriors ""truth army"" can defeat the Marcos / Duterte paid propagandists 
https://t.co/W9hp3GbkAL",Negative,Hate
@jowanabueser mamalasin tayo dahil inuna pang pangarapin ni cj cansino makatuntong sa malacang with leni robredo. nauna na syang minalas bangko tuloy.,Negative,Hate
What if Bongbong Marcos was aborted,Negative,Hate
"""Ang totoong sayang na boto ay para sa mga hindi karapat-dapat manalo at sa mga magnanakaw na dapat walang karapatang maluklok sa puwesto."" 'Yan ang closing message ni Ping Lacson sa ikalawang Comelec presidential debate. #PiliPinas2022 #Eleksyon2022 https://t.co/atNDpeIFIs",Negative,Hate
@aiseyahreads OMG TNX PO BEZTIE 😭😭 boboto na daw siya though for ping lacson. idk if it's a relief na hindi si babym or what 😭😭,Negative,Hate
"these ""troll accounts"" have the capability to be the tie-braker that the country might need for leni robredo to win. never belittle our way of supporting our faves, there’s a human behind every fan account",Negative,Hate
Kailangan manalo ni Leni Robredo kasi ayoko na ganitong klaseng boses yung mamayani sa bayan natin. Puro mga nagsisinungaling at nagdudunung-dunungan.,Negative,Hate
