Tweet Content,Sentiment,Label
KULANG ATA SA TULOG SI NORBERTO GONZALES HAHAHAHAHHAHAHAHAHA SINASABI MO DIYAN,Negative,Hate
Hirosii's argument screams misogyny not valid information. The thing here is that you can not defend Bongbong Marcos without blabbering unethical arguments lol.,Negative,Hate
"Who is the better vote? Bongbong #marcos, who is funded by the dictators son, or human rights lawyer Roberdo? The answer is obvious.
#TheFilipinoVotes #Voting",Negative,Hate
"@skzoowifey hindi siya ang tatay niya bc from what I've learned in my history class, Ferdinand Marcos is smart unlike Bongbong who faked his degree lol. Bongbong is also a tax evader. He can't attend on debates and you know why? He has no balls. Or maybe he's traumatized nung 2016 elections",Negative,Hate
"@Pontifex @LaityFamilyLife Bongbong Marcos,Sara Zimmerman Duterte and their friends from New York will do anything for Bongbong Marcos and Sara Duterte to win Philippine Presidential and Vice-Presidential elections. And then Bongbong Marcos will become a dictator just like his father-so he can do anything.",Negative,Hate
"Reference: Bongbong Marcos website and YouTube.

Kuya sir, akala ko po nagresearch kayo. 

#halalanspace",Negative,Hate
"tipong matatakot ang mga demons lumapit 😌

#PasigLabanParaSaTRoPa #PasigLaban
 (Photo: Team Leni Robredo) https://t.co/3iwaEeUBtd",Negative,Hate
"norberto gonzales is a whole-ass boomer, and i'm glad that nobody will ever vote for his fascist ass",Negative,Hate
Goodnight! Sarap makipgbardagulan sa mga trolls at minions hahahaha bukas ulit! Pag bastos na mga bibig auto blocked mala-Ping Lacson lang hahahaha. 🫣🫢🥴😵‍💫,Negative,Hate
@lovsyejisu we're facing an election rn and we want Leni Robredo to win (that's why we're using this pink border) against a son of a dictator.,Negative,Hate
"Hayop na talunang Dilawang fenk👊👊👊 Si Fake Vp Leni Robredo, was pa ngang drug test result until now eh👊👊👊 https://t.co/ONtXhMpROQ",Negative,Hate
"@TitaATIN3 oh yes I am sure. atleast ako hindi stuck sa fake infos na ipinapakalat ng co-supporters mo. Your opinion can be. valid if you are supporting other candidates like Ka Leody, Ping Lacson , Isko Moreno because somehow these other candidates ay may nagawa para sa Pilipinas+",Negative,Hate
si bongbong daw economista sabi ng smni anchor Mike Abe. Sigurado raw nanonood daw yung apat at baka kumuha ng idea kay Marcos. Baka kay Ka Leody lang sawsaw yan si Bleng blong #MarcosDuwagParin,Negative,Hate
"Reasons why Leni Robredo can't win this election:

1.She's yellow 
2.Kakampinks attitude
3.RAPPLER 

Basically negatrons who are backing her candidacy causes major turn off sa mga voters. https://t.co/vGaLIO0pMP",Negative,Hate
"Tangina yung nf ko puro BBM  at leni Robredo, kapag nanalo naman yang pambato ninyo tas di nila na achieved yung standard na expect ninyo or nagkamali. ibabash ninyo. kahit sino pa yang umupo bilang pangulo kung toxic yung lipunan nahinahawakan niya wala ding sense lahat.",Negative,Hate
"Norberto Gonzales, paggamit ng dahas, you mean PNP? or AFP?",Negative,Hate
“Career ni BongBong Marcos” hay galit na galit kapag ineeducate eh simpleng bagay lang hindi niyo pa magets. https://t.co/51OROdBDeJ,Negative,Hate
Bongbong Marcos: The man attempting to revive a corrupt political dynasty https://t.co/ev3bgklEGP,Negative,Hate
"go montemayor say his name ""PING LACSON"" red-tagger na nga ultimate marites pa",Negative,Hate
"@quoterina Ugali mo besh ayusen mo  hinde ako naki pag barda nkita ko lng mga tweet mo ang yabang mo 
Vote muna tayo ky leni robredo if manalo ska ka mag yabang sure ako doon my pkinabang tayo ..✌✌ at sabi ko ky lord wla ako senabe na rold ..hahhaa dami  ko tawa ko sau 🤭🤭🤭",Negative,Hate
"@arbetooot Ika nga ni Prof Walden

""Bongbong Marcos is a fucking coward."" HAHAHA",Negative,Hate
"I beg to differ!

Leni Robredo as the so-called Ina of her supporters 
created monsters and they call themselves toxic kakampinks. 

Imagine if she wins - hindi malayong mag magpatayan. https://t.co/m654H7SbLM",Negative,Hate
intl news reporting about bongbong marcos leading the elections is sooooo facking embarrassing cuz why would u elect a dictator's son who let the country plummet into poverty after they stole billions and abused power for 20 years gah damnnnn,Negative,Hate
"Leni Robredo obviously did not attend smni debate because of the owner of that network, sumobra naman po pagkaignorante try to know and search the owner of that network who will benefit😃",Negative,Hate
@iamrodafrog yes tama ka Be Bm Bantayan ang Boto baka madaya si VP Leni Robredo,Negative,Hate
"nakakahiya sakanya na last month nya lang nalaman na VP si Leni Robredo e, kesyo di daw nila yun pinag aaral. she's already 19 and she doesn't have knowledge in politics. ang reason nya pa nga kung bakit ayaw nya kay Leni ay ""ayoko lang babae ang mamuno, gusto ko lalaki."" +",Negative,Hate
"HINDI UURONG, WALANG TINATAGO. PAG-IBIG SA BAYAN ANG IPINAGLALABAN; MARC... https://t.co/IwZt5W96QW via @YouTube MASAMANG PANGITAIN KAY BONGBONG MARCOS:  BURADO ANG UTANG AT RECORDS NG MARTIAL LAW; MAGTATAMPISAW ANG POLITICAL DYNASTIES &amp; CRONIES; KATAPUSAN NG MALAYANG PILIPINAS",Negative,Hate
Wtf ako ata unang makakareview ng Ping Lacson movie sa Letterboxd,Negative,Hate
"VICE PRESIDENT OF THE PHILIPPINES NA HINDI NAMAN NA FEEL! LENI ""scripted"" ROBREDO

#10RobredoForPresident #kayleniangatbuhaylahat 
#Lenibobo 
#Kayleninatayo https://t.co/3bwi0eQaV3",Negative,Hate
"@rapplerdotcom @newsdwight At this point,if minamaliit mo pa din si VP @lenirobredo over the weak Bongbong Marcos ay ikaw na talaga ang may problema.🌸",Negative,Hate
"...we firmly believe that Bongbong Marcos neither has the character, nor the competence, nor charity to lead this country as President.

(15/20)",Negative,Hate
"@Aya_ya32 @Lourdes30247618 @patzki24 @maracepeda @PinoyAkoBlog @rapplerdotcom Fake news ka. Even Joma Sison himself said that he si not advising Leni Robredo

https://t.co/WAMaTpjyBL",Negative,Hate
"Actually, Yorme Isko this is not between you and Leni. It will still be a 2.0 fight of Marcos and Robredo. So shut up na. Ayusin mo nalang ulit ang Maynila. Trapong-trapo ka. https://t.co/fwgxkSs5BN",Negative,Hate
"@binjincouple Marcos apologist, t! Hahahaa yung hubby niya at si  bongbong friend",Negative,Hate
"puro pagmamalaki sa nagawa daw ni marcos e, paano naman si BOngBOng? wala ba tayo mabibigay dyan? 🤭",Negative,Hate
"additional info — According sa mga intel na nakuha ni Ping Lacson, kaugnay ni Leni ang mga NPA-CPPA. though, Leni marked it as a ‘lie’, we’ll never know.

https://t.co/hXTsUQdCtB",Negative,Hate
@gyuswishh I hope you endure this for a while because this election means a lot to Filipinos. Leni Robredo's strong competitor is the son of the late dictator. Their family stole billions of taxpayers' money and drove our country to debt.,Negative,Hate
"Yung anak ko gago😭 kumakanta ""aking presidente Leni Robredo"" HAHAHAHAHHAA ang cute!!!
Bbm kaming lahat baby ikaw lang ata leni hahaha https://t.co/lZ4oQw0A4J",Negative,Hate
@basicallyxan_01 Brilliant BBM vs NPA Leody de Guzman na salot sa sambayanan.,Negative,Hate
@1H3LLuVahB @RobinManabat23 @iamAyie_a @linographics05 @tigress0509 @jecondraysbak @ceso @nicoquejano O biased din ito no? Grabe bayaran sila ng pink! Respect bobong marcos! https://t.co/FxBQy2Gi9o,Negative,Hate
Hay naku! Binabasa na naman ni ateng Leni Robredo yung kodigo nya. Anong klaseng closing statement ba yan. Not straight from the heart. Asa na lang palagi sa mga speechwriters nya. Che! #PiliPinasDebates2022,Negative,Hate
"Lying since 2017!!!
The caption for Robredo reads: ""Doctor of Laws, Doctor of Humanities, Doctor of Public Administration."" That's so misleading it is a lie.

Continue reading...
👇👇👇
https://t.co/gFHyAl0oDR",Negative,Hate
jusq bongbong https://t.co/kQAEWWxxuw pa nga 😭 #ashsgs,Negative,Hate
@MacLeod_72 Niloloko lang tayo ng Leni Robredo/,Negative,Hate
"It’s high time Leni Robredo descends upon Bobong Marcos, play his little SMNI field, and eat him alive.
She can do it.
If dun nakakulong at lulong ang mga biktima ng propaganda ni Marcos Jr, Leni can stir them, and they will be disillusioned about little boy Makoy.",Negative,Hate
#PilipinasIsPink my mudra this morning “ Siraulo lang nmn ang boboto kay Bongbong Marcos. Walang isip Walang pagmamahal sa Bayan. Makasarili ang mga bayaran,Negative,Hate
"@War_Takes Some thin parallels, but apparently Ferdinand &amp; Imelda Marcos's son has successfully rewritten history using social media brain worms to cast the dictatorship as a golden era and may be elected president soon.
https://t.co/deKAULe2Ux",Negative,Hate
"aminin niyo man o hindi, nung hindi pa nilabas sa socmed yung mga pinag gagawa niya tingin niyo “wala siyang kwenta” mfs be like “ano ba silbi niyan” tas tangina biglang leni robredo amputa mga balimbing e.",Negative,Hate
"Mariing tinututulan ng UP SAMASKOM ang pagtakbo ni Bongbong Marcos sa pagkapangulo dahil lantaran ang kaniyang pagiging sinungaling, magnanakaw, at gutom sa kapangyarihan!
 
Basahin: https://t.co/hIEfndWrgW
 
#NeverAgain
#NeverForget
#NoToDuterteMarcos2022 https://t.co/2IoVgP1pds",Negative,Hate
A real change liberal party is the only side that is legal to destroy our peace and security. You can't accept that because you have been brainwashed by Leni Robredo's campaign team.,Negative,Hate
"Bongbong Marcos, historical baggage and a race for the Philippine presidency https://t.co/PzcQgp4lod https://t.co/iCeVqdKna7",Negative,Hate
"di ata nabasa script ni nanay leni robredo bago sya magsalita. wala po atang *lang* doon sa sentence niyo. Wag masyadong honest inay . 
#letlenileave and #letlenileadtheprayer
#kayleniagawbuhaylahat
#kulayrosasangpigsa https://t.co/pOa7ZWV4vp",Negative,Hate
"Ah talaga? Historic din naman ang magiging pagkatalo ni Leni Robredo. Daming ginastos, daming pinuntahang bahay, daming hakot, daming artista, daming pakulo, daming logo, daming putik na binato... Talo pa rin!

#KakampINC #NLE2022 #BumotoKa #VoteSafePilipinas #KayLeniTalo https://t.co/xtgTESBKJM",Negative,Hate
‘Authoritarian nostalgia’: Philippines seems set to return Marcoses to power BONGBONG MUST NEVER BE ELECTED THE MARCOS FAMILY WILL PLUNDER THE PHILIPPINES WEALTH https://t.co/2PjTRbP9C7,Negative,Hate
"Tapos biglang nagsilabasan yung mga INC kuno na accounts na titiwalag for Leni Robredo. 

Haaaaaay. Mga nabubuhay sa fake news. 😂😂😂",Negative,Hate
Friend ko yung mga teacher ko sa college tas mostly mga marcos apologist at bbm tapos ako eto binabaha sila ng sharedpost tungkol kay leni at ang zero achievement ni bongbong HAHHAHAB,Negative,Hate
"@barefootjorge @News5PH Exuse me???! Hindi naman niya magagawa iyan kung hindi siya matalino? And may tatlong honorary degree siya. Unlike kay BBM na hindi niya natapos ang pag aaral sa Princeton and Oxford. Hahaha.

Research ka muna kasi bago putak ng putak. 😊

https://t.co/I7WDZyKmRo https://t.co/DhYpvPILXH",Negative,Hate
"Yes bongbong has his own achievements but amongst all politicians, sya moy pinaka less so wala ko ka gets sa hype niya or just because he is a Marcos??",Negative,Hate
"I'll never understand why would people prefer Marcos Jr. over Leni Robredo, like ever. 
Gising Pilipinas.",Negative,Hate
"Leni Robredo: walang inuurungan

Also Leni Robredo: Umayaw sa SMNI Debate

🤡🤡🤡 https://t.co/A7PUZZwWZv",Negative,Hate
ping “the red-tagger” lacson can choke https://t.co/bM6hytOB8V,Negative,Hate
"@morbidjan @AnoGaYan_ @tonetjadaone well, do you really know what is agriculture sector? sa lahat ng tumatakbo ngayon, leody de guzman at leni lang ang matino, isama na naten si bello. 

the rest? trash.",Negative,Hate
"@leeleewithluv @jervy82 @AeronYsrael So, that's it? Nag air lang siya ng personal opinion niya about sa student (which has fair points tbh) and that's enough for him to end his life? 

So, if Bongbong Marcos has decided to end his life because of his numerous critics and criticism, we should all be blamed for it?",Negative,Hate
"#MarcosDuwagParin louder guys, ayaw natin ng sinungaling at duwag na lider, kay LENI ROBREDO tayo https://t.co/gD6aYdzsqN",Negative,Hate
"@suhfiyah No to Leni Lugaw
Bongbong Marcos is my president
I still love you Kim Kardashian
And, fuck you Pete Davidson",Negative,Hate
"Teacher pa pala yung supporter ni Leni na nambully ng estudyante na nagsuicide dahil lang BBM ang sinusuportahan? 😡

Salot talaga sa lipunan si LENI ROBREDO at mga SUPPORTERS nya😡

Tama yung isang nagcomment. KAPANSANAN talaga ang maging supporter nila",Negative,Hate
"by Mr. Ferdinand “Bongbong” Marcos, Jr.

This family is nowhere finished distorting the country’s narrative until they can escape accountability and until justice can no longer be served to the victims of the tyranny of the dictatorial regime.

(10/20)",Negative,Hate
"Someone just educated me about aspiring President Leni Robredo and it’s okay… but, you know, I’m one of those “anyone but Leni” peepz. I won’t vote for someone who can’t even remember even 1 of the law she passed or worse the title of her favorite book. 😊 so… LMA.",Negative,Hate
@pads_nosi Ang dali lang naman intindihin sinabi ni VP @lenirobredo kahit pagod sya dyan. Si Bongbong Marcos nga na well-rested na ay mapapangiwi ka na lang sa mga answers nya na pageant patty. 🌸,Negative,Hate
"@Eric_Cabahug MarcosJr. duwag. Ayaw umattend ng mga debate dahil hindi kayang idipensa ang sarili at pamilya nya. Kung ang sarili at pamilya nya nga ay hindi nya kayang ipagtanggol at panindigan, ang sambayanang Pilipino pa kaya? Gising Pilipinas!!! LENI ROBREDO FOR THE WIN!!! 🙏💗💗💗🙏",Negative,Hate
"Kaya di nag attend sa debate sponsored by SMNI si ma dumb leni robredo, mapapahiya at mabubutata sya ni Prof. Carlos.",Negative,Hate
"to my inc moots pls vote wisely. don't vote for this thief! be smart enough on who to vote!

lastly, “marcos jr. received inc’s bloc vote as vp in 2016 but lost to leni robredo” hope it will happen again this election! 

PARA SA BAYAN 🙌 https://t.co/xlFmJKSTfj",Negative,Hate
Bongbong Marcos: Bantayan ninyong mabuti ang boto Walang Tulugan sa Araw Ng Bilangan Ng Boto sa Mayo 2022..kalaban natin Smartmatic/ Smartmagic Ni LenLen at Jiminez at Comelec 😅 Mandaraya Ang Kalaban natin Sir BBM Kayat Hindi Na Tayo Papayag Dayain Muli ngayong Elections Ng Mayo https://t.co/aVxCRtJHoF,Negative,Hate
Si Norberto Gonzales parang lolo mo cool Lang na laging may sinasabi pero di mo pinapakingan. Charot!,Negative,Hate
"@maracepeda Toxic PINKLAWAN. 💁‍♂️💁‍♂️💁‍♂️ IMPLUWENSYA NI Leni ""FUSHIANG INA NIYO"" Robredo.",Negative,Hate
